"condition_id","fixed_comp","p_L","ICC","rho","n","p_F","s_F","s_L","s_joint","nnrow_F","nnrow_L","nnrow_joint","mcse_s_F","mcse_s_L","mcse_s_joint","mcse_nnrow_F","mcse_nnrow_L","mcse_nnrow_joint","increment"
116,"1 continuous",5,0.3,0.7,100,1,1,0.349404148156752,0.565650355393938,1,0.151891666666667,0.292096666666667,0,0.00152817991395787,0.001685448794691,0,0.000813265702421971,0.00113682237103879,-0.434349644606062
117,"2 continuous",5,0.3,0.7,100,2,1,0.34936562209798,0.740992593527025,1,0.150685,0.460188333333333,0,0.00166021442087526,0.00145143022837228,0,0.000847468715915585,0.00152377139734173,-0.259007406472975
118,"5 continuous",5,0.3,0.7,100,5,1,0.353036703126251,0.96001327554854,1,0.152295,0.850246666666667,0,0.00158438567314811,0.000543440184326314,0,0.000803468810903646,0.00120112603040932,-0.0399867244514596
119,"2 continuous + 3 binary",5,0.3,0.7,100,5,1,0.350096270269885,0.917236695853713,1,0.151368333333333,0.771126666666667,0,0.00160978394818021,0.000969473340478842,0,0.00076186464041735,0.00134936459600571,-0.0827633041462865
120,"5 binary",5,0.3,0.7,100,5,0.318095667117339,0.350775863382518,0.865576223440558,0.318176666666667,0.150978333333333,0.718963333333333,0.000787034858927018,0.00164523016483316,0.0011901101022689,0.000829353679995149,0.0008003805540288,0.00129193864862209,0.51480036005804
121,"none",2,0.7,0.7,100,0,NA,0.222591418990609,0.222591418990609,NA,0.119383333333333,0.119383333333333,NA,0.00129801101094693,0.00129801101094693,NA,0.000755337419655683,0.000755337419655683,0
122,"1 continuous",2,0.7,0.7,100,1,1,0.221710605570639,0.596137481095487,1,0.118403333333333,0.38038,0,0.00129451931844422,0.00185980905169144,0,0.00074733320781725,0.00151914276864798,-0.403862518904513
123,"2 continuous",2,0.7,0.7,100,2,1,0.224510522538485,0.841457870027823,1,0.120506666666667,0.653595,0,0.0013574406515369,0.00137641353409497,0,0.000797451832339916,0.00164277494921855,-0.158542129972177
124,"5 continuous",2,0.7,0.7,100,5,1,0.222546478191831,0.9938699762991,1,0.119948333333333,0.972673333333333,0,0.00129175462727687,0.000218083796567374,0,0.000731702532287924,0.000463063138985136,-0.0061300237009001
125,"2 continuous + 3 binary",2,0.7,0.7,100,5,1,0.225286567538423,0.962451304265132,1,0.119565,0.894,0,0.00146118765250239,0.000628335185966954,0,0.000765534075293524,0.00101700230613092,-0.0375486957348683
126,"5 binary",2,0.7,0.7,100,5,0.317229613689943,0.224977466425398,0.849606883579673,0.317153333333333,0.120146666666667,0.74312,0.000803196038629914,0.00139838773317824,0.00150839944351781,0.000837426597031626,0.000756994704533152,0.00168018311463834,0.53237726988973
127,"none",5,0.7,0.7,100,0,NA,0.768140244806341,0.768140244806341,NA,0.485891666666667,0.485891666666667,NA,0.00162651315870337,0.00162651315870337,NA,0.00171812510212586,0.00171812510212586,0
128,"1 continuous",5,0.7,0.7,100,1,1,0.771034256225761,0.898126622342466,1,0.488658333333333,0.696046666666667,0,0.00144434057463532,0.00103909295958593,0,0.00156120513068532,0.00164074658552155,-0.101873377657534
129,"2 continuous",5,0.7,0.7,100,2,1,0.768500527026962,0.957468255420933,1,0.486223333333333,0.840355,0,0.00137076218374446,0.000581990536875507,0,0.00157369163438521,0.00119747798791737,-0.0425317445790671
130,"5 continuous",5,0.7,0.7,100,5,1,0.771329284879925,0.997601845040077,1,0.489843333333333,0.986573333333333,0,0.0017357607381585,0.00013306233110505,0,0.00190285117702315,0.000275037787363746,-0.00239815495992302
131,"2 continuous + 3 binary",5,0.7,0.7,100,5,1,0.769709570142492,0.99198818598145,1,0.486813333333333,0.965395,0,0.00152905090487426,0.000259535968801069,0,0.00160949971592626,0.000551456512624038,-0.00801181401854989
132,"5 binary",5,0.7,0.7,100,5,0.31885595123842,0.771964439248257,0.981995419767539,0.31936,0.491056666666667,0.94112,0.000807319560038615,0.00156855232742524,0.000447243512588862,0.000873300726947668,0.00175716465881572,0.000794853771549388,0.210030980519282
133,"none",2,0.9,0.7,100,0,NA,0.440470913881133,0.440470913881133,NA,0.263413333333333,0.263413333333333,NA,0.00193076090185399,0.00193076090185399,NA,0.00133822644866904,0.00133822644866904,0
